MeasureName,StateName,CountyName,ReportYear,Value,Unit
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Santa Barbara,2004,10.989848484848499,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Kings,2013,15.5661111111111,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Colusa,2006,7.92527841781874,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Calaveras,2009,6.09166666666667,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Benito,2007,6.24790178571429,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Shasta,1999,12.8761904761905,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Mendocino,1999,9.178571428571431,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Sonoma,1999,12.349305555555601,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Imperial,2001,14.9449138706625,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Riverside,2003,24.814179876900401,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Humboldt,2010,5.61056353767561,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Humboldt,2004,8.143809523809519,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Lake,2004,4.43857142857143,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Santa Cruz,2006,6.84721726190476,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Yolo,2001,10.3892857142857,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Francisco,2002,13.1170260145197,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Lake,2001,4.23924107142857,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Santa Cruz,2009,5.70947916666667,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Mendocino,2005,6.18822916666667,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Inyo,2001,5.66221264367816,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Tulare,2001,22.491809116809101,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Solano,2010,7.73550961538462,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Ventura,2007,11.6526003466521,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Stanislaus,2009,13.0438320355951,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Los Angeles,2001,25.194369065467299,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Luis Obispo,2006,8.58592261904762,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Fresno,2002,21.656355065617099,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Alameda,2010,7.6295981757007,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Orange,2005,14.701160661044399,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Monterey,2012,4.32758241758242,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Inyo,2007,5.92189153439153,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Bernardino,2007,18.877290372670799,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Sutter,2013,8.20692104493819,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Humboldt,2007,7.64842105263158,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Placer,2005,10.048809523809499,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Modoc,2000,8.515625,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Tulare,2007,20.397437978688,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Butte,2003,10.507291666666699,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Fresno,2005,16.9211207609595,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Riverside,2006,20.8482605820106,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Orange,2002,18.6226847829173,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Sonoma,2002,10.5166534893527,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Colusa,2003,7.94967357910906,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Francisco,2005,9.49698529411765,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Shasta,2002,10.5223214285714,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Mendocino,2002,9.26177083333333,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Santa Clara,2000,13.6211415525114,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Nevada,2013,8.3097012553631,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Kern,2012,14.6676307007786,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Luis Obispo,2003,8.303244047619049,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Fresno,1999,27.710583221277702,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Merced,2011,10.4143479221928,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Luis Obispo,2000,10.3723958333333,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Kings,2010,13.576800505996999,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Placer,2008,10.0219047619048,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Butte,2000,15.751041666666699,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Santa Barbara,2007,9.49,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Inyo,2004,5.44212962962963,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Bernardino,2004,21.877839756592302,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Solano,2007,9.779999999999999,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Mono,2003,7.59601449275362,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Tulare,2004,17.012920026881702,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Ventura,2010,8.962187500000001,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Plumas,2010,9.656258210180621,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Yolo,2007,8.251068376068369,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Lake,2010,3.05489583333333,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Solano,2004,11.063352369192801,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Fresno,2008,17.4209259485426,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Inyo,2010,5.40277195922357,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,San Bernardino,2010,12.9978334245576,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Orange,2013,10.084411776024,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Kern,2001,21.826232193732199,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Merced,2002,18.7382199302135,µg/m³
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),California,Nevada,2010,5.67549260120673,µg/m³
