County,2013,2014,2015,2016,2017,2018,2019
Alameda,10.7,8.5,8.5,8.5,9,9,10.4
Alpine,12.6,10.3,10.3,10.3,4.9,4.9,5.6
Amador,12,9.4,9.4,9.4,7.9,7.9,8.9
Butte,11.4,8.9,8.9,8.9,8.1,8.1,8.9
Calaveras,12.4,9.5,9.5,9.5,7.8,7.8,9
Colusa,10.6,7.6,7.6,7.6,7.1,7.1,8.7
Contra Costa,10.7,8.3,8.3,8.3,7.7,7.7,11.6
Del Norte,10.2,8,8,8,5.8,5.8,8.5
El Dorado,11.8,9.5,9.5,9.5,8.1,8.1,9.3
Fresno,13.2,9.6,9.6,9.6,14.3,14.3,15.3
Glenn,10.9,8,8,8,7.2,7.2,9.1
Humboldt,11.1,8.2,8.2,8.2,6,6,8.8
Imperial,11.5,9.4,9.4,9.4,10.3,10.3,13.5
Inyo,14.1,11.3,11.3,11.3,5.8,5.8,7.3
Kern,11.2,9.2,9.2,9.2,13.9,13.9,19.7
Kings,11.6,8.9,8.9,8.9,13.5,13.5,16.7
Lake,10.2,7.2,7.2,7.2,5.5,5.5,6.9
Lassen,12.3,11.1,11.1,11.1,7.1,7.1,7.4
Los Angeles,10.2,8.1,8.1,8.1,14.4,14.4,14.2
Madera,13.8,9.9,9.9,9.9,11.8,11.8,14
Marin,9.9,7.5,7.5,7.5,7.6,7.6,10.3
Mariposa,13.9,10.1,10.1,10.1,8,8,9.2
Mendocino,10.2,7.3,7.3,7.3,5.8,5.8,8.8
Merced,12.3,9.1,9.1,9.1,10.4,10.4,12
Modoc,10.7,10,10,10,6.2,6.2,6.6
Mono,14.8,11,11,11,5.4,5.4,6.1
Monterey,10.1,7.2,7.2,7.2,7.6,7.6,6.7
Napa,10.3,7.6,7.6,7.6,7.5,7.5,10.6
Nevada,11.6,9.6,9.6,9.6,6.7,6.7,8.1
Orange,11,7.6,7.6,7.6,10.9,10.9,10.6
Placer,11.4,9.3,9.3,9.3,8.7,8.7,10.5
Plumas,12.1,10.4,10.4,10.4,8.8,8.8,9.9
Riverside,11.9,9.4,9.4,9.4,15.4,15.4,14.8
Sacramento,11.3,8.7,8.7,8.7,9.9,9.9,9.1
San Benito,10.9,7.9,7.9,7.9,7.7,7.7,6.2
San Bernardino,12.2,10.4,10.4,10.4,14.2,14.2,14.9
San Diego,11.7,7.9,7.9,7.9,11.6,11.6,10.4
San Francisco,10.1,8,8,8,8.2,8.2,9.8
San Joaquin,11.6,8.9,8.9,8.9,9.7,9.7,11.9
San Luis Obispo,10,7.5,7.5,7.5,8.7,8.7,10.5
San Mateo,10,8,8,8,8.1,8.1,9.2
Santa Barbara,9.5,7.2,7.2,7.2,8,8,10.2
Santa Clara,10.7,8.3,8.3,8.3,8.8,8.8,8.9
Santa Cruz,10.1,7.7,7.7,7.7,7.9,7.9,7.5
Shasta,11.4,9.6,9.6,9.6,7.3,7.3,8.4
Sierra,12,10.2,10.2,10.2,5.6,5.6,6.7
Siskiyou,10.3,8.7,8.7,8.7,6.6,6.6,9.6
Solano,10.7,8.1,8.1,8.1,8.5,8.5,11
Sonoma,9.9,7.2,7.2,7.2,6.8,6.8,10.1
Stanislaus,12.1,9.2,9.2,9.2,10,10,12.3
Sutter,10.9,8.1,8.1,8.1,7.1,7.1,9.4
Tehama,11.3,8.9,8.9,8.9,7.3,7.3,8.7
Trinity,11.2,8.7,8.7,8.7,5.6,5.6,7.8
Tulare,13.1,10.3,10.3,10.3,13.7,13.7,17.8
Tuolumne,13.3,10.1,10.1,10.1,7.6,7.6,8.9
Ventura,9.6,7.7,7.7,7.7,10.2,10.2,11.2
Yolo,10.8,7.9,7.9,7.9,8.7,8.7,9.8
Yuba,11.2,8.7,8.7,8.7,8,8,9.6
